,cluster,name,country.etc,pop
725,725,Druzhba,Kazakhstan,101
726,726,Dryden,Canada,7012
727,727,Dubbo,Australia,29149
728,728,Dubuque,USA,57027
729,729,Norilsk,Russia,125128
730,730,Sa'o,Somalia,8051
731,731,Duluth,USA,84472
732,732,Duncan Town,Bahamas,69
733,733,Dusa Marreb,Somalia,8831
734,734,Kaili,China,152972
735,735,Zhumysker,Kazakhstan,6866
736,736,Pallasovka,Russia,17134
737,737,Eau Claire,USA,63049
738,738,Eauripik,Micronesia,115
739,739,Ujae,Marshall Islands,427
740,740,Edd,Eritrea,11434
741,741,Edinburgh,Saint Helena,267
742,742,Oklahoma City,USA,538141
743,743,Oshakati,Namibia,34942
744,744,Eivissa,Spain,43845
745,745,El Daba,Egypt,27837
746,746,El Harga,Egypt,60349
747,747,Juarez,Mexico,1449006
748,748,Hurghada,Egypt,100939
749,749,Ras Gharib,Egypt,28976
750,750,Satawal,Micronesia,530
751,751,Parauapebas,Brazil,81609
752,752,Toka,Marshall Islands,334
753,753,Mili,Marshall Islands,390
754,754,Ende,Indonesia,79377
755,755,Wanxian,China,190254
756,756,Weno,Micronesia,17766
